Total Bikes Available,Total Docks Available,Empty Stations,Overflow Stations,Time
9071,13234,263,106,2025-11-03 10:39:47
8981,13299,273,100,2025-11-03 11:25:27
9034,13250,267,91,2025-11-03 11:29:53
8906,13366,274,93,2025-11-03 11:42:50
8933,13334,268,92,2025-11-03 11:52:05
8880,13372,270,84,2025-11-03 12:14:27
9408,12813,199,101,2025-11-03 15:14:54
9452,12781,195,100,2025-11-03 15:22:53
9459,12774,191,101,2025-11-03 15:23:59
9456,12775,195,104,2025-11-03 15:24:54
9518,12702,180,105,2025-11-03 15:39:55
9508,12681,177,98,2025-11-03 15:59:54
9471,12684,173,92,2025-11-03 16:19:51
9383,12760,175,85,2025-11-03 16:39:59
9215,12943,183,79,2025-11-03 16:59:57
9026,13130,174,71,2025-11-03 17:19:56
9065,13092,174,84,2025-11-03 17:39:54
9279,12888,163,93,2025-11-03 17:59:52
9435,12765,157,97,2025-11-03 18:59:55
9386,12803,150,90,2025-11-03 19:20:00
9396,12806,149,81,2025-11-03 19:39:58
9475,12711,142,82,2025-11-03 19:59:56
9449,12752,149,90,2025-11-03 20:19:53
9436,12767,141,91,2025-11-03 20:40:01
9417,12805,141,92,2025-11-03 20:59:57
9535,12745,151,98,2025-11-03 22:40:00
9560,12726,144,98,2025-11-03 22:59:56
8702,13495,280,107,2025-11-04 09:19:59
8700,13511,300,114,2025-11-04 09:40:01
8534,13655,315,111,2025-11-04 09:59:50
8498,13705,320,112,2025-11-04 10:19:50
8543,13681,320,112,2025-11-04 10:39:59
8523,13707,319,109,2025-11-04 10:59:57
8422,13799,334,113,2025-11-04 11:19:57
8277,13935,347,96,2025-11-04 11:39:57
8215,14000,347,89,2025-11-04 11:59:58
8301,13921,332,88,2025-11-04 12:19:59
8204,14001,345,85,2025-11-04 12:40:00
8208,13999,335,88,2025-11-04 12:59:59
8191,13968,321,84,2025-11-04 13:20:20
8242,13935,312,81,2025-11-04 13:42:21
8381,13795,303,77,2025-11-04 13:59:56
8272,13903,303,85,2025-11-04 14:19:56
8305,13876,307,87,2025-11-04 14:39:56
8551,13624,287,92,2025-11-04 14:59:55
8483,13686,284,72,2025-11-04 15:19:54
8447,13714,275,70,2025-11-04 15:39:53
8464,13642,259,67,2025-11-04 15:59:51
8093,13983,254,58,2025-11-04 16:39:57
8059,14008,236,49,2025-11-04 16:59:54
7811,14246,242,44,2025-11-04 17:19:52
7861,14138,249,49,2025-11-04 17:40:01
